epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.242,1.42811,2.78492,1.25693,0.45344,0.46225,0.32244,0.18236,1.37879,1.46732,1.15073,0.00332616,0.00332616,0.00332616
2,230.006,1.36979,1.51764,1.19157,0.51829,0.47828,0.36166,0.18655,1.44834,1.52617,1.18156,0.00659357,0.00659357,0.00659357
3,343.456,1.4444,1.53185,1.22321,0.42641,0.41073,0.30808,0.15654,1.57243,1.74335,1.28679,0.00979497,0.00979497,0.00979497
4,462.175,1.51808,1.61678,1.2638,0.38376,0.4655,0.31926,0.16435,1.57354,1.73286,1.24776,0.009703,0.009703,0.009703
5,575.287,1.48971,1.5582,1.25102,0.45768,0.463,0.34055,0.17748,1.51584,1.59313,1.24846,0.009604,0.009604,0.009604
6,693.86,1.46688,1.49014,1.23689,0.47719,0.53354,0.39992,0.21144,1.46678,1.39583,1.20027,0.009505,0.009505,0.009505
7,814.659,1.42831,1.43541,1.21687,0.5559,0.54293,0.44838,0.23878,1.4427,1.35208,1.19597,0.009406,0.009406,0.009406
8,931.732,1.40595,1.38667,1.20415,0.59551,0.54472,0.46696,0.24227,1.41131,1.29931,1.17641,0.009307,0.009307,0.009307
9,1047.34,1.37791,1.3323,1.19043,0.52201,0.55467,0.45191,0.24094,1.41248,1.27319,1.17888,0.009208,0.009208,0.009208
10,1163.79,1.36102,1.3219,1.184,0.56173,0.56961,0.45682,0.2508,1.36219,1.24989,1.15713,0.009109,0.009109,0.009109
11,1281.33,1.33685,1.27304,1.17825,0.56446,0.60645,0.50439,0.2666,1.36919,1.17936,1.13992,0.00901,0.00901,0.00901
12,1398.57,1.32998,1.2657,1.16296,0.59537,0.58151,0.49823,0.27576,1.34639,1.15611,1.1257,0.008911,0.008911,0.008911
13,1516.91,1.30715,1.22498,1.15988,0.57438,0.62918,0.5293,0.29087,1.31588,1.11911,1.11682,0.008812,0.008812,0.008812
14,1634.69,1.28832,1.21597,1.14178,0.55468,0.64337,0.53066,0.29104,1.29895,1.10921,1.10625,0.008713,0.008713,0.008713
15,1753.3,1.275,1.19588,1.14322,0.60133,0.6239,0.54098,0.30209,1.28484,1.09795,1.10307,0.008614,0.008614,0.008614
16,1870.84,1.26513,1.18264,1.14147,0.51973,0.61485,0.52638,0.29863,1.29561,1.09806,1.10478,0.008515,0.008515,0.008515
17,1987.13,1.24185,1.15108,1.11957,0.63498,0.68258,0.57725,0.32541,1.26549,1.04194,1.08912,0.008416,0.008416,0.008416
18,2104.65,1.23915,1.14657,1.12436,0.6383,0.64464,0.55442,0.31841,1.23738,1.04556,1.07895,0.008317,0.008317,0.008317
19,2224.12,1.23087,1.12845,1.11472,0.60863,0.65911,0.56713,0.31928,1.2564,1.0242,1.07263,0.008218,0.008218,0.008218
20,2344.56,1.21874,1.12487,1.10995,0.66751,0.65593,0.56445,0.32722,1.2484,1.00574,1.08275,0.008119,0.008119,0.008119
21,2466.31,1.21224,1.11012,1.10678,0.64697,0.66981,0.56934,0.32619,1.22123,1.02051,1.07174,0.00802,0.00802,0.00802
22,2587.97,1.19981,1.1006,1.09947,0.62247,0.70061,0.58695,0.33017,1.20958,0.99751,1.06001,0.007921,0.007921,0.007921
23,2703.44,1.18782,1.09595,1.08915,0.61177,0.65976,0.57732,0.32663,1.20925,0.98067,1.05916,0.007822,0.007822,0.007822
24,2813.01,1.17529,1.08109,1.09012,0.65784,0.67944,0.5848,0.33724,1.19674,0.97827,1.05675,0.007723,0.007723,0.007723
25,3348.96,1.16656,1.07132,1.09033,0.67418,0.67731,0.60288,0.35487,1.18772,0.95694,1.05851,0.007624,0.007624,0.007624
26,3455.06,1.16141,1.06469,1.08006,0.65785,0.69288,0.60514,0.35493,1.17295,0.93696,1.03679,0.007525,0.007525,0.007525
27,3562.22,1.14865,1.04538,1.07746,0.67466,0.70045,0.62593,0.36873,1.1563,0.9268,1.03203,0.007426,0.007426,0.007426
28,3671.66,1.1368,1.04059,1.07388,0.66004,0.71007,0.61369,0.36895,1.15945,0.93029,1.03309,0.007327,0.007327,0.007327
29,3781.06,1.13441,1.03778,1.06539,0.65246,0.68271,0.605,0.36073,1.15337,0.92629,1.03041,0.007228,0.007228,0.007228
30,3887.97,1.12473,1.02626,1.05826,0.68346,0.7198,0.63032,0.37418,1.14448,0.92018,1.02356,0.007129,0.007129,0.007129
31,5578.29,1.11978,1.01923,1.06232,0.69032,0.70038,0.63104,0.37765,1.12231,0.8995,1.01193,0.00703,0.00703,0.00703
32,5684.13,1.10923,1.01825,1.05594,0.7085,0.71134,0.63612,0.37429,1.12427,0.88954,1.01195,0.006931,0.006931,0.006931
33,5793.73,1.09907,1.00776,1.05266,0.6868,0.72729,0.63872,0.37532,1.12296,0.88829,1.01808,0.006832,0.006832,0.006832
34,5905.38,1.09096,0.99688,1.05101,0.71201,0.70823,0.64173,0.39106,1.10155,0.87846,1.00869,0.006733,0.006733,0.006733
35,6015.79,1.08783,0.99807,1.05065,0.68072,0.72895,0.64086,0.38042,1.10717,0.87529,1.00237,0.006634,0.006634,0.006634
36,6121.7,1.07146,0.97889,1.04012,0.72295,0.71244,0.64138,0.3925,1.10661,0.87078,1.00501,0.006535,0.006535,0.006535
37,6227.91,1.07071,0.98189,1.03992,0.70363,0.72298,0.64359,0.39412,1.09065,0.86817,1.00029,0.006436,0.006436,0.006436
